ID,Site,Layer,Unit,Other Name,Raw Material,Cortex Percent,Artifact class,Cortex Origin,Complete,Platform?,Initiated,Termination,Flake Geometry,Platform Preparation,PlatformAbrasion,Platform Width,Platform Thickness,Flaking Stage,Maximum Length,Technological Length,Maximum Width,Technological Width,Thickness,Mass,Notes,Photo
,SBF,,,,,,Flake,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,Flake,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,Flake,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,Flake,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,Flake,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,Flake,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,Flake,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,Flake,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
,SBF,,,,,,,,,,,,,,,,,,,,,,,,,
